,method,input_name,gamma,inc,idef,total_time,max_mem,timestamp,n_vars,n_worlds,n_params,n_edges,also_idef,optimizer,graph_id
118,opt_dist,3--torch(lbfgs)--gamma1e-12,1.001e-12,,11.135862559114798,283.9768350124359,-1,2022-10-01 01:38:29.256174,10,1024,492,45,,lbfgs,3
119,opt_dist,4--torch(lbfgs)--gamma2e+00,2.000000000000001,,0.0307002624042072,77.18634343147278,-1,2022-10-01 01:38:37.128404,10,1024,398,37,,lbfgs,4
120,opt_dist,3--torch(adam)--gamma1e-08,1.0000001e-08,,11.245497663203379,286.94955253601074,-1,2022-10-01 01:38:39.352262,10,1024,492,45,,adam,3
121,opt_dist,3--torch(adam)--gamma1e+00,1.000000000000001,,7.238391044120541,243.41518330574036,-1,2022-10-01 01:38:47.000517,10,1024,492,45,,adam,3
122,opt_dist,4--torch(asgd)--gamma1e-08,1.0000001e-08,4.164573432617845,6.999999999999998,156.55635809898376,-1,2022-10-01 01:38:52.427075,10,1024,398,37,,asgd,4
123,opt_dist,5--torch(adam)--gamma1e-08,1.0000001e-08,,7.813575937759198,50.065932273864746,-1,2022-10-01 01:38:52.633121,10,1024,388,35,,adam,5
124,cccp_opt_joint,5--cccp--gamma1e-02,0.010000000000001,0.5366629771800058,7.375265952793867,32.689980030059814,-1,2022-10-01 01:38:54.916982,10,1024,388,35,,,5
125,opt_dist,4--torch(asgd)--gamma1e-12,1.001e-12,4.164573432617845,6.999999999999998,190.70181798934937,-1,2022-10-01 01:39:00.618979,10,1024,398,37,,asgd,4
126,cccp_opt_joint,5--cccp--gamma1e+00,1.000000000000001,1.4516683720143226,4.443971628071792,29.853768825531006,-1,2022-10-01 01:39:10.004601,10,1024,388,35,,,5
127,cccp_opt_joint,5--cccp--gamma1e-08,1.0000001e-08,0.5360454901821455,7.5901708741055,74.25070476531982,-1,2022-10-01 01:39:15.625991,10,1024,388,35,,,5
128,opt_dist,4--torch(lbfgs)--gamma1e-02,0.010000000000001,,7.761462323020143,140.69828414916992,-1,2022-10-01 01:39:16.826181,10,1024,398,37,,lbfgs,4
129,opt_dist,4--torch(asgd)--gamma1e+00,1.000000000000001,4.164573432617845,6.999999999999998,128.6765275001526,-1,2022-10-01 01:39:17.853103,10,1024,398,37,,asgd,4
130,opt_dist,4--torch(lbfgs)--gamma1e-12,1.001e-12,,8.274418178105602,220.3961353302002,-1,2022-10-01 01:39:28.297208,10,1024,398,37,,lbfgs,4
131,opt_dist,3--torch(lbfgs)--gamma2e+00,2.000000000000001,,-1.9529254148085493,263.0595600605011,-1,2022-10-01 01:39:34.194851,10,1024,492,45,,lbfgs,3
132,cccp_opt_joint,5--cccp--gamma1e-04,0.000100000000001,0.5360417739445295,7.570789168544514,83.65975522994995,-1,2022-10-01 01:39:37.167162,10,1024,388,35,,,5
133,opt_dist,4--torch(adam)--gamma1e-02,0.010000000000001,,7.770841087907713,163.0278766155243,-1,2022-10-01 01:39:38.173131,10,1024,398,37,,adam,4
134,cvx_opt_joint,cvx-idef,1e-15,0.49108056297589153,8.61609228012301,22.519757509231567,-1,2022-10-01 01:39:40.090014,10,1024,426,39,False,,63
135,cccp_opt_joint,5--cccp--gamma2e+00,2.000000000000001,,-0.03699483630644984,47.56082892417908,-1,2022-10-01 01:39:43.295628,10,1024,388,35,,,5
136,opt_dist,4--torch(lbfgs)--gamma1e+00,1.000000000000001,,4.459430688722444,161.11376428604126,-1,2022-10-01 01:39:46.705100,10,1024,398,37,,lbfgs,4
137,cvx_opt_joint,cvx+idef,1e-15,0.4910812755853588,8.503586756388573,28.455320835113525,-1,2022-10-01 01:39:46.988917,10,1024,426,39,True,,63
138,opt_dist,5--torch(adam)--gamma1e+00,1.000000000000001,,4.242737387428372,69.13945651054382,-1,2022-10-01 01:39:57.109513,10,1024,388,35,,adam,5
139,opt_dist,2--torch(adam)--gamma1e-12,1.001e-12,,8.405781594365116,446.93607234954834,-1,2022-10-01 01:39:57.582714,10,1024,484,39,,adam,2
140,opt_dist,4--torch(adam)--gamma1e+00,1.000000000000001,,4.453455568680598,181.02933859825134,-1,2022-10-01 01:40:04.677104,10,1024,398,37,,adam,4
